1,wk_code,wk_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
3,WK036201,Randwijck,2014,4.270599604867483,0.1683347537237974,0.0064002230091221,0.044195112697823,-0.0036676345541941,0.1670640836394402,-0.045657031068394
5,WK036201,Randwijck,2018,4.302987301626246,0.2007224504825603,-0.0056349141674062,0.0508163068740051,-0.0022052377679377,0.172163047387641,-0.0144167518437421
6,WK036201,Randwijck,2020,4.310702457253576,0.2084376061098918,0.0005578523858732957,0.0540720803249676,0.00039944073780324535,0.1881726292809184,-0.0347643966196711
7,WK036201,Randwijck,2022,4.328186939975703,0.2259220888320177,-0.007289500760402,0.054136824888332,-0.0037912123140788,0.1890082238243136,-0.0061422468061473
11,WK036202,Patrimonium,2014,4.312819768685171,0.2105549175414854,0.0335661223617883,0.0161446154131849,-0.0115074312201607,0.1438289923435293,0.0285226186431433
13,WK036202,Patrimonium,2018,4.299907014484111,0.1976421633404257,0.0164411930790374,0.0203875023159049,-0.0126215122507931,0.1455261104249438,0.0279088697713323
14,WK036202,Patrimonium,2020,4.327452652184433,0.2251878010407474,0.0245807252137708,0.0304771612441437,-0.0177142306848069,0.1606605740286027,0.0271835712390367
15,WK036202,Patrimonium,2022,4.325796064141405,0.2235312129977195,0.0221661606509955,0.0240207580878359,-0.0125333238090234,0.1624917246444883,0.0273858934234229
19,WK036203,Elsrijk,2014,4.262875502043642,0.1606106508999576,0.0056800853182931,0.030808520244837,-0.0117290437772258,0.162565631099303,-0.02671454198525
21,WK036203,Elsrijk,2018,4.2567732827838105,0.1545084316401245,-0.0111347580728295,0.033174693851902,-0.0098348927893607,0.1487229558151505,-0.0064195671647379
22,WK036203,Elsrijk,2020,4.277322519597907,0.1750576684542211,-0.0033721633026153,0.0314335627023963,-0.0084713523585632,0.1750287157058846,-0.0195610942928816
23,WK036203,Elsrijk,2022,4.2880714142166765,0.185806563072991,-0.0068333706340435,0.0308319927926972,-0.0124800546005317,0.1752920388463114,-0.0010040433314425
27,WK036204,Stadshart,2014,4.182589592875691,0.0803247417320053,0.0180000113309302,-0.0060086974899455,-0.0278709322820986,0.1798111914981002,-0.0836068313249811
29,WK036204,Stadshart,2018,4.1468239281837205,0.0445590770400356,-0.0037890224581858,-0.0130793511602637,-0.0317138382437639,0.1442665540409549,-0.0511252651387059
30,WK036204,Stadshart,2020,4.167126699244987,0.0648618481013016,0.0102078845180464,-0.016181650213154,-0.0242462836265853,0.1665987421176931,-0.0715168446946988
31,WK036204,Stadshart,2022,4.18987089017682,0.0876060390331349,0.014988352250932,-0.0202579156746929,-0.0347124644582833,0.1645476589392649,-0.036959592024086
35,WK036205,Uilenstede - Kronenburg,2014,3.732543433486889,-0.3697214176567961,0.0067341954958731,-0.0944950369461892,-0.0201453659600504,0.1590552657593682,-0.4208704760057981
37,WK036205,Uilenstede - Kronenburg,2018,4.085115315275467,-0.0171495358682187,0.0083848601207502,-0.074091593035025,-0.003041410039595,0.1614369718422782,-0.1098383647566271
38,WK036205,Uilenstede - Kronenburg,2020,4.122629397103652,0.0203645459599668,0.0176800811784375,-0.0870388218078269,-0.0026797725413435,0.1987916008913205,-0.1063885417606208
39,WK036205,Uilenstede - Kronenburg,2022,4.054529948582003,-0.0477349025616828,0.0061912259726652,-0.0764841093972654,-0.0115908730215704,0.1745830141029085,-0.1404341602184213
43,WK036206,Bankras - Kostverloren,2014,4.14828381998519,0.0460189688415051,-0.0003742971630355522,0.0182597892231711,-0.0301610918453334,0.1121837112287501,-0.0538891426020474
45,WK036206,Bankras - Kostverloren,2018,4.140732322305433,0.0384674711617482,-0.0058885309220357,0.0133688683772797,-0.0341568675733363,0.1059719356237003,-0.04082793434386
46,WK036206,Bankras - Kostverloren,2020,4.167393068887804,0.0651282177441184,0.0036239457113819,0.0153285241355972,-0.0344464878390662,0.130121017966719,-0.0494987822305138
47,WK036206,Bankras - Kostverloren,2022,4.173881269751701,0.0716164186080151,0.0022431509476008,0.0197591331274567,-0.0393647449116251,0.122861413671221,-0.0338825342266387
51,WK036207,Buitengebied Noord,2014,4.463798210958043,0.3615333598143571,-0.0088247753927251,0.1221676195824055,0.0898207687616451,0.0754710617313673,0.0828986851316637
53,WK036207,Buitengebied Noord,2018,4.460778636053992,0.3585137849103066,-0.0078018905930786,0.1159914875809894,0.0837666234790624,0.0748749474308414,0.0916826170124917
